ID_TRX;ID_Banco;ID_Marca_Tarjeta;ID_Categoria;Importe_Operacion;Moneda;Cantidad_Cuotas;Fecha_Operacion;Número de tarjeta;Modalidad;Fecha_Presentación_Cupón;Rubro_Establecimiento;Provincia_Consumidor;Provincia_Comercio;Observada_BCRA;Sexo;Ingresos_Usuario;Edad
1;Galicia;Visa;Nacional;168354;Pesos;1;21/1/2022;6,79072E+15;Presencial;25/1/2022;Bares;Córdoba;Neuquén;0;Masculino;482091;19
2;Macro;Visa;Internacional;971309;Pesos;1;29/11/2022;5,39871E+15;Venta Teléfonica;3/12/2022;Cervecerías artesanales;Jujuy;La Pampa;;Masculino;534450;21
3;Santander;Visa;Platinum;143772;Pesos;1;11/8/2022;4,16545E+15;Débito Automático;18/8/2022;Casas de comidas;Buenos Aires;Catamarca;1;Masculino;270203;20
4;Credicoop;Visa;Platinum;382229;Pesos;1;6/2/2022;4,23443E+15;E Commerce;10/2/2022;Rotiserías;La Rioja;Jujuy;0;Masculino;250225;23
5;Supervielle;Visa;Signature Black;373381;Pesos;1;25/8/2022;6,69803E+15;MODO;31/8/2022;Casas de comida por peso;Mendoza;Buenos Aires;0;Masculino;347927;18
6;HSBC;Visa;Internacional;779180;Pesos;1;8/11/2022;4,27742E+15;QR;9/11/2022;Cafeterías;Chaco;Santa Fe;0;Masculino;853987;22
7;Itaú;Visa;Nacional;332739;Pesos;1;26/5/2022;4,63741E+15;Mercado Pago;27/5/2022;Restaurantes;CABA;San Luis;0;Masculino;878976;19
8;Columbia;Visa;Nacional;799908;Pesos;3;22/1/2022;4,8572E+15;Presencial;26/1/2022;Hamburgueserías;Entre Ríos;Mendoza;0;Masculino;688822;18
9;BBVA;Visa;Internacional;819985;Pesos;1;21/5/2022;5,55969E+15;Venta Teléfonica;24/5/2022;Pizzerías;Chubut;Corrientes;0;Masculino;402402;25
10;Comafi;Visa;Platinum;763555;Pesos;1;18/11/2022;6,15053E+15;Débito Automático;25/11/2022;Casas de empanadas;Buenos Aires;Salta;0;Masculino;479618;21
11;Patagonia;Visa;Platinum;975295;Dólares;1;9/5/2022;6,51885E+15;E Commerce;12/5/2022;Almacenes o Fiambrerías;Mendoza;San Luis;1;Masculino;554187;18
12;Hipotecario;Visa;Signature Black;61259;Pesos;1;11/11/2022;6,73133E+15;MODO;17/11/2022;Dietéticas o Tiendas naturistas;Buenos Aires;San Luis;0;Masculino;502803;19
13;Galicia;Visa;Internacional;903725;Pesos;6;6/10/2022;5,39464E+15;QR;8/10/2022;Verdulerías y Fruterías;Santiago del Estero;CABA;0;Masculino;360984;19
14;Macro;Visa;Nacional;559613;Pesos;1;28/8/2022;5,46372E+15;Mercado Pago;4/9/2022;Carnicerías;Santa Cruz;San Juan;0;Masculino;571465;20
15;Santander;Visa;Nacional;691467;Pesos;3;28/10/2022;6,48111E+15;Presencial;1/11/2022;Granjas o Pollerías;Santiago del Estero;Santa Fe;0;Masculino;715903;21
16;Credicoop;Visa;Internacional;833698;Pesos;3;12/9/2022;6,49065E+15;Venta Teléfonica;17/9/2022;Kioskos;Buenos Aires;Río Negro;0;Masculino;622262;21
17;Supervielle;Visa;Platinum;914791;Pesos;1;24/5/2022;6,74796E+15;Débito Automático;25/5/2022;Agencias de Turismo;Chaco;Chaco;0;Masculino;690104;18
18;HSBC;Visa;Platinum;626510;Pesos;1;18/9/2022;5,22723E+15;E Commerce;20/9/2022;Inmobiliarias;CABA;Salta;0;Masculino;810190;21
19;Itaú;Visa;Signature Black;397650;Pesos;3;18/4/2022;4,84203E+15;MODO;23/4/2022;Estudios profesionales;Santiago del Estero;Catamarca;0;Masculino;457727;25
20;Columbia;Visa;Internacional;54867;Pesos;1;28/8/2022;6,88629E+15;QR;1/9/2022;Estudios contables;Entre Ríos;Santiago del Estero;0;Masculino;153775;20
21;BBVA;Visa;Nacional;618952;Pesos;6;12/2/2022;4,55896E+15;Mercado Pago;15/2/2022;Estudios jurídicos;Entre Ríos;San Juan;0;Masculino;685036;21
22;Comafi;Visa;Nacional;372094;Dólares;1;26/11/2022;6,52648E+15;Presencial;1/12/2022;Empresas de servicios;Tierra del Fuego;San Juan;1;Masculino;764136;21
23;Patagonia;Visa;Internacional;306940;Pesos;6;13/6/2022;6,85126E+15;Venta Teléfonica;19/6/2022;Empresas de limpieza de edificios;Salta;Corrientes;0;Masculino;271204;25
24;Hipotecario;Visa;Platinum;84969;Pesos;1;27/11/2022;5,82646E+15;Débito Automático;3/12/2022;Empresas de fumigación / desinfección;Córdoba;San Luis;0;Masculino;167684;19
25;Galicia;Visa;Platinum;931683;Pesos;1;29/7/2022;6,9102E+15;E Commerce;4/8/2022;Empresas de limpieza de tanques;Santa Cruz;Santa Fe;0;Masculino;855859;19
26;Macro;Visa;Signature Black;586458;Pesos;3;15/9/2022;5,62662E+15;MODO;19/9/2022;Empresas de mantenimiento y reparación de edificios;Jujuy;Mendoza;0;Masculino;218962;19
27;Santander;Visa;Internacional;311524;Pesos;1;6/2/2022;5,01344E+15;QR;8/2/2022;Empresas de construcción;Tierra del Fuego;Formosa;0;Masculino;890465;19
28;Credicoop;Visa;Nacional;338596;Pesos;1;9/12/2022;5,39148E+15;Mercado Pago;16/12/2022;Venta de indumentaria y accesorios;Neuquén;Tierra del Fuego;0;Masculino;196948;18
29;Supervielle;Visa;Nacional;516088;Pesos;6;4/6/2022;6,50384E+15;Presencial;11/6/2022;Venta de calzado;Misiones;La Pampa;0;Masculino;363423;19
30;HSBC;Visa;Internacional;313271;Pesos;3;22/7/2022;4,51332E+15;Venta Teléfonica;23/7/2022;Venta de artículos deportivos;Corrientes;Mendoza;0;Masculino;83799;25
31;Itaú;Visa;Platinum;421289;Pesos;3;28/8/2022;6,50666E+15;Débito Automático;1/9/2022;Showrooms;Tierra del Fuego;Chaco;0;Masculino;644034;23
32;Columbia;Visa;Platinum;659619;Pesos;3;7/7/2022;6,61396E+15;E Commerce;11/7/2022;Ferreterías y Cerrajerías;Santa Fe;La Pampa;0;Masculino;410044;25
33;BBVA;Visa;Signature Black;303398;Dólares;1;18/2/2022;5,97066E+15;MODO;23/2/2022;Venta de relojería y joyería;San Juan;Río Negro;1;Masculino;113844;24
34;Comafi;Visa;Internacional;323059;Pesos;3;30/12/2022;5,17736E+15;QR;5/1/2023;Venta de artículos de perfumería y tocador;Santiago del Estero;Entre Ríos;;Masculino;330382;25
